tick,pop,avg_dist_to_food,agents_at_food
499,200,55.6,0
500,200,55.6,0
501,200,55.6,0
502,200,55.6,0
503,200,55.6,0
504,200,55.6,0
505,200,55.6,0
506,200,55.6,0
507,200,55.6,0
508,200,55.6,0
509,199,55.6,0
510,200,55.4,0
511,200,55.4,0
512,200,55.4,0
513,200,55.4,0
514,200,55.4,0
515,200,55.4,0
516,200,55.4,0
517,200,55.4,0
518,200,55.4,0
519,199,55.2,0
520,200,55.1,0
521,200,55.0,0
522,200,55.0,0
523,200,55.0,0
524,200,55.0,0
525,199,55.1,0
526,199,55.0,0
527,200,54.9,0
528,200,54.9,0
529,200,54.9,0
530,200,54.9,0
531,200,54.9,0
532,200,54.9,0
533,200,54.9,0
534,200,54.9,0
535,200,54.9,0
536,200,54.9,0
537,199,54.9,0
538,200,54.8,0
539,200,54.9,0
540,200,54.8,0
541,200,54.8,0
542,200,54.8,0
543,200,54.8,0
544,200,54.8,0
545,200,54.8,0
546,200,54.8,0
547,200,54.8,0
548,200,54.9,0
549,199,54.8,0
550,199,54.8,0
551,200,54.7,0
552,200,54.7,0
553,200,54.7,0
554,200,54.7,0
555,200,54.7,0
556,200,54.7,0
557,200,54.7,0
558,199,54.6,0
559,200,54.5,0
560,200,54.5,0
561,200,54.5,0
562,199,54.7,0
563,200,54.8,0
564,200,54.8,0
565,200,54.8,0
566,200,54.8,0
567,200,54.8,0
568,200,54.8,0
569,200,54.8,0
570,200,54.8,0
571,200,54.8,0
572,200,54.8,0
573,200,54.8,0
574,199,54.9,0
575,199,55.1,0
576,200,55.0,0
577,200,55.0,0
578,200,55.0,0
579,200,55.0,0
580,200,55.0,0
581,200,55.0,0
582,199,55.0,0
583,199,54.9,0
584,200,55.0,0
585,200,55.0,0
586,200,55.0,0
587,200,55.0,0
588,200,55.0,0
589,200,55.0,0
590,200,55.0,0
591,200,55.0,0
592,200,55.0,0
593,200,55.0,0
594,200,55.0,0
595,199,54.9,0
596,200,54.9,0
597,199,55.0,0
598,200,55.2,0
599,200,55.2,0
600,200,55.2,0
601,200,55.2,0
602,200,55.2,0
603,200,55.2,0
604,200,55.2,0
605,200,55.2,0
606,200,55.2,0
607,200,55.2,0
608,198,55.0,0
609,200,55.0,0
610,200,55.0,0
611,199,54.9,0
612,199,55.2,0
613,200,55.2,0
614,200,55.2,0
615,200,55.2,0
616,199,55.1,0
617,200,55.1,0
618,200,55.1,0
619,200,55.1,0
620,200,55.0,0
621,200,55.1,0
622,200,55.1,0
623,200,55.1,0
624,200,55.1,0
625,200,55.1,0
626,200,55.1,0
627,200,55.1,0
628,200,55.1,0
629,200,55.1,0
630,200,55.1,0
631,200,55.1,0
632,200,55.1,0
633,200,55.1,0
634,200,55.1,0
635,200,55.1,0
636,199,55.3,0
637,199,55.4,0
638,200,55.6,0
639,200,55.6,0
640,200,55.6,0
641,200,55.6,0
642,200,55.6,0
643,200,55.6,0
644,200,55.6,0
645,200,55.6,0
646,200,55.6,0
647,200,55.6,0
648,199,55.6,0
649,200,55.7,0
650,200,55.7,0
651,200,55.7,0
652,200,55.7,0
653,200,55.7,0
654,200,55.7,0
655,200,55.7,0
656,200,55.7,0
657,198,55.8,0
658,200,55.9,0
659,200,55.9,0
660,199,56.0,0
661,199,55.7,0
662,200,55.5,0
663,200,55.5,0
664,200,55.5,0
665,200,55.5,0
666,200,55.5,0
667,200,55.5,0
668,200,55.5,0
669,199,55.7,0
670,200,55.8,0
671,200,55.8,0
672,200,55.8,0
673,200,55.8,0
674,200,55.8,0
675,200,55.8,0
676,200,55.8,0
677,199,55.7,0
678,200,55.6,0
679,200,55.6,0
680,200,55.6,0
681,199,55.4,0
682,200,55.4,0
683,200,55.4,0
684,200,55.4,0
685,200,55.4,0
686,200,55.4,0
687,200,55.4,0
688,200,55.4,0
689,200,55.4,0
690,199,55.3,0
691,200,55.5,0
692,200,55.5,0
693,200,55.5,0
694,200,55.5,0
695,200,55.5,0
696,199,55.5,0
697,200,55.4,0
698,200,55.4,0
699,200,55.4,0
700,200,55.4,0
701,200,55.4,0
702,200,55.4,0
703,200,55.4,0
704,200,55.4,0
705,200,55.4,0
706,200,55.5,0
707,199,55.4,0
708,200,55.5,0
709,200,55.5,0
710,200,55.5,0
711,200,55.5,0
712,200,55.5,0
713,200,55.5,0
714,199,55.7,0
715,200,55.8,0
716,200,55.8,0
717,200,55.8,0
718,199,55.7,0
719,200,55.9,0
720,199,55.8,0
721,200,55.6,0
722,200,55.6,0
723,199,55.8,0
724,200,55.7,0
725,200,55.7,0
726,200,55.7,0
727,200,55.7,0
728,200,55.7,0
729,200,55.7,0
730,200,55.7,0
731,200,55.7,0
732,200,55.7,0
733,200,55.7,0
734,199,55.9,0
735,199,55.8,0
736,199,56.1,0
737,200,56.3,0
738,200,56.3,0
739,200,56.3,0
740,200,56.3,0
741,200,56.3,0
742,200,56.3,0
743,200,56.3,0
744,200,56.3,0
745,200,56.3,0
746,200,56.3,0
747,200,56.3,0
748,200,56.3,0
749,200,56.3,0
750,200,56.3,0
751,200,56.3,0
752,200,56.3,0
753,200,56.3,0
754,200,56.3,0
755,200,56.3,0
756,200,56.3,0
757,200,56.3,0
758,200,56.3,0
759,200,56.3,0
760,199,56.2,0
761,200,56.1,0
762,200,56.1,0
763,200,56.1,0
764,200,56.1,0
765,200,56.1,0
766,200,56.1,0
767,200,56.1,0
768,200,56.1,0
769,200,56.1,0
770,200,56.1,0
771,200,56.1,0
772,200,56.1,0
773,199,56.2,0
774,200,56.4,0
775,200,56.4,0
776,200,56.4,0
777,200,56.4,0
778,200,56.4,0
779,200,56.4,0
780,200,56.4,0
781,200,56.4,0
782,200,56.4,0
783,200,56.4,0
784,200,56.4,0
785,200,56.4,0
786,200,56.4,0
787,200,56.4,0
788,200,56.4,0
789,199,56.4,0
790,200,56.5,0
791,200,56.5,0
792,200,56.5,0
793,200,56.5,0
794,199,56.4,0
795,200,56.2,0
796,200,56.2,0
797,200,56.3,0
798,200,56.3,0
799,200,56.3,0
800,200,56.3,0
801,200,56.3,0
802,200,56.3,0
803,200,56.3,0
804,199,56.3,0
805,200,56.3,0
806,200,56.3,0
807,200,56.3,0
808,199,56.3,0
809,200,56.2,0
810,200,56.2,0
811,200,56.2,0
812,200,56.2,0
813,200,56.2,0
814,200,56.2,0
815,200,56.2,0
816,200,56.2,0
817,200,56.2,0
818,200,56.2,0
819,200,56.2,0
820,200,56.2,0
821,200,56.2,0
822,200,56.2,0
823,200,56.2,0
824,200,56.2,0
825,200,56.2,0
826,200,56.2,0
827,200,56.2,0
828,200,56.2,0
829,200,56.2,0
830,200,56.2,0
831,200,56.2,0
832,200,56.2,0
833,200,56.2,0
834,200,56.2,0
835,199,56.2,0
836,200,56.1,0
837,200,56.1,0
838,200,56.1,0
839,200,56.1,0
840,200,56.1,0
841,200,56.1,0
842,200,56.1,0
843,200,56.1,0
844,200,56.1,0
845,200,56.1,0
846,200,56.1,0
847,200,56.1,0
848,200,56.1,0
849,200,56.1,0
850,200,56.1,0
