tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
809,20,180,0,0.580,0
810,20,180,0,0.580,0
811,20,180,0,0.580,0
812,20,180,0,0.580,0
813,20,180,0,0.580,0
814,20,180,0,0.580,0
815,20,180,0,0.580,0
816,20,180,0,0.580,0
817,20,180,0,0.580,0
818,20,180,0,0.580,0
819,20,180,0,0.580,0
820,20,180,0,0.580,0
821,20,180,0,0.580,0
822,20,180,0,0.580,0
823,20,180,0,0.580,0
824,20,180,0,0.580,0
825,20,180,0,0.580,0
826,20,180,0,0.580,0
827,20,180,0,0.580,0
828,20,180,0,0.580,0
829,20,180,0,0.580,0
830,20,180,0,0.580,0
831,20,180,0,0.580,0
832,20,180,0,0.580,0
833,20,180,0,0.580,0
834,20,180,0,0.580,0
835,20,180,0,0.580,0
836,20,180,0,0.580,0
837,20,180,0,0.580,0
838,20,180,0,0.580,0
839,20,180,0,0.580,0
840,20,180,0,0.580,0
841,20,180,0,0.580,0
842,20,180,0,0.580,0
843,20,180,0,0.580,0
844,20,180,0,0.580,0
845,20,180,0,0.580,0
846,20,180,0,0.580,0
847,20,180,0,0.580,0
848,20,180,0,0.580,0
849,20,180,0,0.580,0
850,20,180,0,0.580,0
851,20,180,0,0.580,0
852,20,180,0,0.580,0
853,20,180,0,0.580,0
854,20,180,0,0.580,0
855,20,180,0,0.580,0
856,20,180,0,0.580,0
857,20,180,0,0.580,0
858,20,180,0,0.580,0
859,20,180,0,0.580,0
860,20,180,0,0.580,0
861,20,180,0,0.580,0
862,20,180,0,0.580,0
863,20,180,0,0.580,0
864,20,180,0,0.580,0
865,20,180,0,0.580,0
866,20,180,0,0.580,0
867,20,180,0,0.580,0
868,20,180,0,0.580,0
869,20,180,0,0.580,0
870,20,180,0,0.580,0
871,20,180,0,0.580,0
872,20,180,0,0.580,0
873,20,180,0,0.580,0
874,20,180,0,0.580,0
875,20,180,0,0.580,0
876,20,180,0,0.580,0
877,20,180,0,0.580,0
878,20,180,0,0.580,0
879,20,180,0,0.580,0
