tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
493,195,20,1.0188,0.3826,0.8672,0.5181
494,196,20,1.0173,0.3803,0.8672,0.5181
495,196,20,1.0171,0.3760,0.8672,0.5181
496,197,20,1.0173,0.3674,0.8672,0.5181
497,198,20,1.0123,0.3633,0.8672,0.5181
498,198,20,1.0172,0.3649,0.8672,0.5181
499,198,20,1.0171,0.3659,0.8672,0.5181
500,196,20,1.0157,0.3686,0.8672,0.5181
501,199,20,1.0134,0.3654,0.8672,0.5181
502,198,20,1.0143,0.3674,0.8672,0.5181
503,195,20,1.0106,0.3653,0.8672,0.5181
504,195,20,1.0110,0.3603,0.8672,0.5181
505,194,20,1.0099,0.3581,0.8672,0.5181
506,197,20,1.0078,0.3536,0.8672,0.5181
507,196,20,1.0038,0.3484,0.8672,0.5181
508,197,20,1.0086,0.3485,0.8672,0.5181
509,198,20,1.0089,0.3467,0.8672,0.5181
510,195,20,1.0066,0.3448,0.8672,0.5181
511,197,20,1.0123,0.3469,0.8672,0.5181
512,195,20,1.0183,0.3434,0.8672,0.5181
513,198,20,1.0145,0.3409,0.8672,0.5181
514,198,20,1.0130,0.3409,0.8672,0.5181
515,200,20,1.0110,0.3399,0.8672,0.5181
516,197,20,1.0070,0.3367,0.8672,0.5181
517,199,20,1.0028,0.3329,0.8672,0.5181
518,196,20,1.0079,0.3378,0.8672,0.5181
519,200,20,1.0139,0.3438,0.8672,0.5181
520,198,20,1.0084,0.3392,0.8672,0.5181
521,198,20,1.0068,0.3391,0.8672,0.5181
522,195,20,0.9985,0.3302,0.8672,0.5181
523,196,20,0.9973,0.3239,0.8672,0.5181
524,200,20,0.9948,0.3215,0.8672,0.5181
525,198,20,0.9959,0.3222,0.8672,0.5181
526,197,20,0.9914,0.3192,0.8672,0.5181
