tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
830,20,180,0,0.573,0
831,20,180,0,0.573,0
832,20,180,0,0.573,0
833,20,180,0,0.573,0
834,20,180,0,0.573,0
835,20,180,0,0.573,0
836,20,180,0,0.573,0
837,20,180,0,0.573,0
838,20,180,0,0.573,0
839,20,180,0,0.573,0
840,20,180,0,0.573,0
841,20,180,0,0.573,0
842,20,180,0,0.573,0
843,20,180,0,0.573,0
844,20,180,0,0.573,0
845,20,180,0,0.573,0
846,20,180,0,0.573,0
847,20,180,0,0.573,0
848,20,180,0,0.573,0
849,20,180,0,0.573,0
850,20,180,0,0.573,0
851,20,180,0,0.573,0
852,20,180,0,0.573,0
853,20,180,0,0.573,0
854,20,180,0,0.573,0
855,20,180,0,0.573,0
856,20,180,0,0.573,0
857,20,180,0,0.573,0
858,20,180,0,0.573,0
859,20,180,0,0.573,0
860,20,180,0,0.573,0
861,20,180,0,0.573,0
862,20,180,0,0.573,0
863,20,180,0,0.573,0
864,20,180,0,0.573,0
865,20,180,0,0.573,0
866,20,180,0,0.573,0
867,20,180,0,0.573,0
868,20,180,0,0.573,0
869,20,180,0,0.573,0
870,20,180,0,0.573,0
871,20,180,0,0.573,0
872,20,180,0,0.573,0
873,20,180,0,0.573,0
874,20,180,0,0.573,0
875,20,180,0,0.573,0
876,20,180,0,0.573,0
877,20,180,0,0.573,0
878,20,180,0,0.573,0
879,20,180,0,0.573,0
880,20,180,0,0.573,0
881,20,180,0,0.573,0
882,20,180,0,0.573,0
883,20,180,0,0.573,0
884,20,180,0,0.573,0
885,20,180,0,0.573,0
886,20,180,0,0.573,0
887,20,180,0,0.573,0
888,20,180,0,0.573,0
889,20,180,0,0.573,0
890,20,180,0,0.573,0
891,20,180,0,0.573,0
892,20,180,0,0.573,0
893,20,180,0,0.573,0
894,20,180,0,0.573,0
895,20,180,0,0.573,0
896,20,180,0,0.573,0
897,20,180,0,0.573,0
898,20,180,0,0.573,0
899,20,180,0,0.573,0
900,20,180,0,0.573,0
901,20,180,0,0.573,0
902,20,180,0,0.573,0
903,20,180,0,0.573,0
904,20,180,0,0.573,0
905,20,180,0,0.573,0
906,20,180,0,0.573,0
907,20,180,0,0.573,0
908,20,180,0,0.573,0
909,20,180,0,0.573,0
910,20,180,0,0.573,0
911,20,180,0,0.573,0
912,20,180,0,0.573,0
913,20,180,0,0.573,0
914,20,180,0,0.573,0
915,20,180,0,0.573,0
916,20,180,0,0.573,0
917,20,180,0,0.573,0
918,20,180,0,0.573,0
919,20,180,0,0.573,0
920,20,180,0,0.573,0
921,20,180,0,0.573,0
922,20,180,0,0.573,0
923,20,180,0,0.573,0
924,20,180,0,0.573,0
925,20,180,0,0.573,0
926,20,180,0,0.573,0
927,20,180,0,0.573,0
928,20,180,0,0.573,0
929,20,180,0,0.573,0
930,20,180,0,0.573,0
931,20,180,0,0.573,0
932,20,180,0,0.573,0
933,20,180,0,0.573,0
934,20,180,0,0.573,0
935,20,180,0,0.573,0
936,20,180,0,0.573,0
937,20,180,0,0.573,0
938,20,180,0,0.573,0
939,20,180,0,0.573,0
940,20,180,0,0.573,0
941,20,180,0,0.573,0
942,20,180,0,0.573,0
943,20,180,0,0.573,0
944,20,180,0,0.573,0
945,20,180,0,0.573,0
946,20,180,0,0.573,0
947,20,180,0,0.573,0
948,20,180,0,0.573,0
949,20,180,0,0.573,0
950,20,180,0,0.573,0
951,20,180,0,0.573,0
952,20,180,0,0.573,0
953,20,180,0,0.573,0
954,20,180,0,0.573,0
955,20,180,0,0.573,0
956,20,180,0,0.573,0
957,20,180,0,0.573,0
958,20,180,0,0.573,0
959,20,180,0,0.573,0
960,20,180,0,0.573,0
961,20,180,0,0.573,0
962,20,180,0,0.573,0
963,20,180,0,0.573,0
964,20,180,0,0.573,0
965,20,180,0,0.573,0
966,20,180,0,0.573,0
967,20,180,0,0.573,0
968,20,180,0,0.573,0
969,20,180,0,0.573,0
970,20,180,0,0.573,0
971,20,180,0,0.573,0
972,20,180,0,0.573,0
973,20,180,0,0.573,0
974,20,180,0,0.573,0
975,20,180,0,0.573,0
976,20,180,0,0.573,0
977,20,180,0,0.573,0
978,20,180,0,0.573,0
979,20,180,0,0.573,0
980,20,180,0,0.573,0
981,20,180,0,0.573,0
982,20,180,0,0.573,0
983,20,180,0,0.573,0
984,20,180,0,0.573,0
