tick,tax_rate,subsidy,treasury,pop_rich,pop_poor,avg_nrg_poor
1172,0.046,18.3,-0.0,0,147,36.7
1173,0.046,18.3,-0.0,0,147,36.0
1174,0.046,18.3,-0.0,0,147,35.4
1175,0.046,18.3,0.0,0,147,35.4
1176,0.046,18.3,0.0,0,147,35.7
1177,0.046,18.3,-0.0,0,147,36.0
1178,0.046,18.3,-0.0,0,147,36.0
1179,0.046,18.3,-0.0,0,147,35.9
1180,0.046,18.3,0.0,0,147,35.9
1181,0.046,18.3,0.0,0,147,35.2
1182,0.046,18.3,-0.0,0,147,35.6
1183,0.046,18.3,-0.0,0,147,35.0
1184,0.046,18.3,-0.0,0,147,33.7
1185,0.046,18.3,0.0,0,147,33.4
1186,0.046,18.3,-0.0,0,147,33.9
1187,0.046,18.3,0.0,0,147,34.0
1188,0.046,18.3,0.0,0,147,34.4
