tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
559,20,20,363.5083777199377,367.4276903410957
560,20,20,362.34263772317354,368.3768265471373
561,20,20,363.88838939025226,367.59446838914056
562,20,20,363.57951928976377,369.68724211928236
563,20,20,363.5760096546277,370.5118938252845
564,20,20,363.1351642657894,369.84785511444545
565,20,19,362.59433145037747,370.2359251336862
566,20,19,360.0205936976938,369.7967818211132
567,20,18,361.89040468183964,368.6083365144422
568,20,18,360.87303354318703,369.55195839862927
569,20,18,361.27282819727964,369.2978958699144
570,20,18,362.04175815095385,369.66274190501116
571,20,18,361.57425791693686,368.032647397513
572,20,18,361.75194968027483,369.5768535669447
573,20,18,362.5604306478869,367.70202493125703
574,20,18,362.5814635301991,368.2372134755327
575,20,18,361.96255215961577,368.88908871658
576,20,18,363.36082925389746,368.23262606165576
577,20,18,363.4919587785142,368.01611237345315
578,20,18,363.63662777867665,369.09725890325115
579,20,18,362.70179130183,369.664011151489
580,20,18,361.89414237543946,366.10736577552086
581,20,18,361.51619805932177,366.89485385677955
582,20,18,361.1359011851295,367.7786252200665
583,20,18,361.1047854942747,366.89449250480897
584,20,18,363.35275328668854,367.96064000300163
585,20,18,361.49252607375263,366.69080702519466
586,20,18,362.60720624039214,368.34456212364535
587,20,18,361.8152447241948,368.3813191577982
588,20,18,362.1884034312097,367.8995473153189
589,20,18,363.63922063767643,368.12577176798845
590,20,18,363.4917762346958,366.8513996530426
591,20,18,364.5890587666213,366.54446558743973
592,20,18,362.34898640024954,367.118437611879
593,20,18,365.2004928046494,368.44451357250665
594,20,18,363.3901643499363,367.46538541312776
595,20,18,362.837338013674,366.55071451542165
596,20,18,363.6269265726404,366.7118058767609
597,20,18,363.3504326522542,366.81853267634955
598,20,18,361.34413497980165,367.3588951207426
599,20,18,363.3934032584231,367.08496320990895
600,20,18,362.3228157993067,367.5514836497231
601,20,18,362.1178072721766,365.2739250463613
602,20,18,361.5397554269296,365.4299615803305
603,20,18,361.18682563653846,366.0673842041123
604,20,18,361.23391437481615,366.3847526868975
605,20,18,360.81921055512566,365.30814626737055
606,20,18,361.3801696039528,366.5987975031508
607,20,18,361.11417298527425,364.99759317088524
608,20,18,359.898600368885,365.32685862763725
609,20,18,360.08317407044717,363.9539137574904
610,20,18,361.47807239851295,363.9192325867348
611,20,18,359.9087335630603,362.3913067766207
612,20,18,360.4603614105665,362.74289587885056
613,20,18,360.8202417964366,363.5254172575699
614,20,18,360.1617665092896,362.0603978723105
615,20,18,360.9377980801419,361.07872078128946
616,20,18,361.97040938280946,363.7236657245039
617,20,18,361.29790341751016,363.44501480628713
618,20,18,360.59928966600927,362.59196921577984
619,20,18,362.00841648162753,362.9319686221373
620,20,18,359.8451700451267,363.3222183181832
621,20,18,361.18034422875286,361.6067850157458
622,20,18,360.3618277241686,362.7224992097963
623,20,18,360.0769673328922,363.3249441153405
624,20,18,360.99148642814487,363.18508702514754
625,20,18,361.28834341367445,361.74308103933555
626,20,18,360.8515933418274,364.2479008800976
627,20,18,362.1996487985066,361.70762133636646
628,20,18,360.68821737020784,362.9616423808341
629,20,18,359.61854684682385,361.61641280253787
