tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
379,10,25,18,578.1494591790329,332.0047857189882
380,10,25,16,572.6447246740851,330.7069537719675
381,10,25,17,567.1703732568812,331.14282098039115
382,10,25,15,561.7263929900115,331.9207453721075
383,10,25,17,574.3127702045208,332.1011599147397
384,10,25,16,586.7912495141628,330.64557604890217
385,10,25,17,581.1621582777166,329.6528277961567
386,10,25,16,576.0647878006254,330.95220460916414
387,10,25,17,570.9952477278613,332.00155681421427
388,10,25,17,565.4535259903059,330.74466875795423
389,10,24,17,557.9434989429141,330.4593855845464
390,10,24,18,550.9807410359722,330.04402224717217
391,10,25,17,563.5612730258836,329.27265789023636
392,10,25,15,558.0321540301735,330.7264564583077
393,10,25,17,552.535222684309,331.0879326121432
394,10,25,16,565.0704465143695,329.1159768242728
395,10,25,17,559.4955913717188,328.19602787682453
396,10,25,16,589.9535876728676,328.9538628740848
397,10,24,15,584.1585575715577,329.8182199353729
398,10,25,17,596.3978568381009,329.26362111239763
399,10,24,18,606.5278033253456,328.1056657998516
400,10,25,16,618.5647822835557,327.85264368138826
401,10,25,15,612.4930941144544,326.9114959226604
402,10,25,17,606.457851022587,326.99161615714144
403,10,25,17,600.9590021281576,327.49154455588155
404,10,25,17,595.492454775775,327.0592082374142
405,10,25,15,590.058167276904,326.9513916165607
406,10,25,17,584.1560963434283,327.88822416714237
407,10,25,18,578.2902671040056,328.8752600970328
408,10,25,15,572.9606199092497,327.5857993410034
409,10,25,17,567.6630034232047,327.0004386579851
410,10,25,17,562.3973681799473,327.42903869632323
411,10,25,17,556.6636631983209,330.1639803337077
412,10,24,17,549.4659559983795,329.6183345188398
413,10,24,17,559.8165685866456,327.18513653172135
414,10,25,16,572.070488783561,328.79220497024073
415,10,25,16,566.7115051114703,329.1513571612044
416,10,25,16,560.8856667737556,328.21322681462493
