tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_mut
499,198,50,0.5850,0.5070,0.8314
500,195,50,0.5814,0.5070,0.8314
501,194,50,0.5797,0.5070,0.8314
502,198,50,0.5803,0.5070,0.8314
503,193,50,0.5825,0.5070,0.8314
504,197,50,0.5856,0.5070,0.8314
505,196,50,0.5874,0.5070,0.8314
506,195,50,0.5853,0.5070,0.8314
507,189,50,0.5911,0.5070,0.8314
508,195,50,0.5894,0.5070,0.8314
509,200,50,0.5874,0.5070,0.8314
510,197,50,0.5854,0.5070,0.8314
511,195,50,0.5894,0.5070,0.8314
512,196,50,0.5897,0.5070,0.8314
513,196,50,0.5886,0.5070,0.8314
514,197,50,0.5915,0.5070,0.8314
515,196,50,0.5921,0.5070,0.8314
516,194,50,0.5921,0.5070,0.8314
517,195,50,0.5899,0.5070,0.8314
518,195,50,0.5931,0.5070,0.8314
519,199,50,0.5939,0.5070,0.8314
520,193,50,0.5957,0.5070,0.8314
521,194,50,0.6009,0.5070,0.8314
522,192,50,0.6005,0.5070,0.8314
523,193,50,0.5992,0.5070,0.8314
524,193,50,0.5907,0.5070,0.8314
525,194,50,0.5934,0.5070,0.8314
526,195,50,0.5923,0.5070,0.8314
527,192,50,0.5934,0.5070,0.8314
528,196,50,0.5936,0.5070,0.8314
529,197,50,0.5954,0.5070,0.8314
530,195,50,0.5956,0.5070,0.8314
531,194,50,0.5975,0.5070,0.8314
532,195,50,0.5896,0.5070,0.8314
533,191,50,0.5937,0.5070,0.8314
534,198,50,0.5914,0.5070,0.8314
535,192,50,0.5931,0.5070,0.8314
536,198,50,0.5924,0.5070,0.8314
537,192,50,0.5911,0.5070,0.8314
538,194,50,0.5883,0.5070,0.8314
539,194,50,0.5876,0.5070,0.8314
540,198,50,0.5892,0.5070,0.8314
541,198,50,0.5916,0.5070,0.8314
542,196,50,0.5958,0.5070,0.8314
543,193,50,0.5994,0.5070,0.8314
544,196,50,0.5980,0.5070,0.8314
545,194,50,0.5998,0.5070,0.8314
546,194,50,0.6015,0.5070,0.8314
547,196,50,0.6018,0.5070,0.8314
548,196,50,0.5962,0.5070,0.8314
549,194,50,0.5925,0.5070,0.8314
550,196,50,0.5915,0.5070,0.8314
551,194,50,0.5923,0.5070,0.8314
552,195,50,0.5870,0.5070,0.8314
553,195,50,0.5869,0.5070,0.8314
554,192,50,0.5901,0.5070,0.8314
555,195,50,0.5884,0.5070,0.8314
556,197,50,0.5871,0.5070,0.8314
557,198,50,0.5860,0.5070,0.8314
558,196,50,0.5889,0.5070,0.8314
559,192,50,0.5924,0.5070,0.8314
560,194,50,0.5912,0.5070,0.8314
561,199,50,0.5926,0.5070,0.8314
562,195,50,0.5975,0.5070,0.8314
563,197,50,0.5965,0.5070,0.8314
564,196,50,0.6001,0.5070,0.8314
565,195,50,0.5960,0.5070,0.8314
566,194,50,0.5968,0.5070,0.8314
567,194,50,0.6015,0.5070,0.8314
568,197,50,0.5967,0.5070,0.8314
569,194,50,0.5962,0.5070,0.8314
570,195,50,0.5997,0.5070,0.8314
571,193,50,0.6032,0.5070,0.8314
572,195,50,0.6022,0.5070,0.8314
573,196,50,0.6020,0.5070,0.8314
574,194,50,0.6060,0.5070,0.8314
575,196,50,0.6095,0.5070,0.8314
576,190,50,0.6078,0.5070,0.8314
577,195,50,0.6091,0.5070,0.8314
578,196,50,0.6105,0.5070,0.8314
579,198,50,0.6095,0.5070,0.8314
580,197,50,0.6100,0.5070,0.8314
581,191,50,0.6170,0.5070,0.8314
582,196,50,0.6128,0.5070,0.8314
583,191,50,0.6165,0.5070,0.8314
584,196,50,0.6203,0.5070,0.8314
585,194,50,0.6186,0.5070,0.8314
586,197,50,0.6201,0.5070,0.8314
587,198,50,0.6235,0.5070,0.8314
588,194,50,0.6284,0.5070,0.8314
589,195,50,0.6255,0.5070,0.8314
590,193,50,0.6259,0.5070,0.8314
591,192,50,0.6309,0.5070,0.8314
592,196,50,0.6355,0.5070,0.8314
593,197,50,0.6334,0.5070,0.8314
594,195,50,0.6335,0.5070,0.8314
595,192,50,0.6381,0.5070,0.8314
596,195,50,0.6445,0.5070,0.8314
597,193,50,0.6483,0.5070,0.8314
598,198,50,0.6478,0.5070,0.8314
599,198,50,0.6500,0.5070,0.8314
600,194,50,0.6458,0.5070,0.8314
601,200,50,0.6486,0.5070,0.8314
602,195,50,0.6505,0.5070,0.8314
603,196,50,0.6518,0.5070,0.8314
604,193,50,0.6552,0.5070,0.8314
605,190,50,0.6571,0.5070,0.8314
606,193,50,0.6570,0.5070,0.8314
607,198,50,0.6525,0.5070,0.8314
608,197,50,0.6478,0.5070,0.8314
609,194,50,0.6528,0.5070,0.8314
610,195,50,0.6565,0.5070,0.8314
611,196,50,0.6581,0.5070,0.8314
612,196,50,0.6570,0.5070,0.8314
613,195,50,0.6629,0.5070,0.8314
614,192,50,0.6635,0.5070,0.8314
615,196,50,0.6666,0.5070,0.8314
616,196,50,0.6669,0.5070,0.8314
617,199,50,0.6655,0.5070,0.8314
618,197,50,0.6677,0.5070,0.8314
619,197,50,0.6689,0.5070,0.8314
620,194,50,0.6704,0.5070,0.8314
621,197,50,0.6718,0.5070,0.8314
622,197,50,0.6717,0.5070,0.8314
623,197,50,0.6713,0.5070,0.8314
624,192,50,0.6721,0.5070,0.8314
625,193,50,0.6695,0.5070,0.8314
626,196,50,0.6669,0.5070,0.8314
627,196,50,0.6736,0.5070,0.8314
628,194,50,0.6750,0.5070,0.8314
629,193,50,0.6830,0.5070,0.8314
630,193,50,0.6814,0.5070,0.8314
631,199,50,0.6790,0.5070,0.8314
632,197,50,0.6798,0.5070,0.8314
633,194,50,0.6791,0.5070,0.8314
634,192,50,0.6880,0.5070,0.8314
635,193,50,0.6912,0.5070,0.8314
636,196,50,0.6912,0.5070,0.8314
637,196,50,0.6915,0.5070,0.8314
638,197,50,0.6903,0.5070,0.8314
639,197,50,0.6885,0.5070,0.8314
640,197,50,0.6922,0.5070,0.8314
641,193,50,0.6893,0.5070,0.8314
642,190,50,0.6921,0.5070,0.8314
643,196,50,0.6913,0.5070,0.8314
644,196,50,0.6875,0.5070,0.8314
645,192,50,0.6887,0.5070,0.8314
646,198,50,0.6886,0.5070,0.8314
647,195,50,0.6881,0.5070,0.8314
648,195,50,0.6907,0.5070,0.8314
